plot,plot_section,plot_section_label,month_order,month,species,n_outplants,total_outplant_area_m2,total_outplants_month,percent_prevalence,total_area_month_m2,percent_cover_within_outplants
Plot C,all,Plot C,2,April,Montastraea cavernosa,169,0.07703674999999999,554,30.505415162454874,0.362963,21.224408548529738
Plot C,all,Plot C,2,April,Orbicella annularis,43,0.04719125000000002,554,7.76173285198556,0.362963,13.001669591666374
Plot C,all,Plot C,2,April,Orbicella faveolata,25,0.04134424999999999,554,4.512635379061372,0.362963,11.390761592779429
Plot C,all,Plot C,2,April,Orbicella franksi,124,0.085694,554,22.382671480144403,0.362963,23.609569019431735
Plot C,all,Plot C,2,April,Porites porites,192,0.11167350000000001,554,34.65703971119134,0.362963,30.767185636001468
Plot C,all,Plot C,2,April,Unidentified coral,1,2.3250000000000003e-5,554,0.18050541516245489,0.362963,0.006405611591264125
Plot C,all,Plot C,3,June,Montastraea cavernosa,167,0.06463424999999995,530,31.50943396226415,0.3136729999999999,20.60561476442026
Plot C,all,Plot C,3,June,Orbicella annularis,42,0.05079824999999998,530,7.9245283018867925,0.3136729999999999,16.194651755171783
Plot C,all,Plot C,3,June,Orbicella faveolata,23,0.04619775,530,4.339622641509434,0.3136729999999999,14.727996990496479
Plot C,all,Plot C,3,June,Orbicella franksi,118,0.06854474999999999,530,22.264150943396228,0.3136729999999999,21.852295224644774
Plot C,all,Plot C,3,June,Porites porites,180,0.083498,530,33.9622641509434,0.3136729999999999,26.6194412652667
Plot E,all,Plot E,1,May,Acropora cervicornis,14,0.008781999999999998,271,5.166051660516605,0.27878075,3.1501457686730516
Plot E,all,Plot E,1,May,Acropora palmata,55,0.10283025000000003,271,20.29520295202952,0.27878075,36.88570677853475
Plot E,all,Plot E,1,May,Orbicella annularis,110,0.098273749999999993,271,40.59040590405904,0.27878075,35.25126824574509
Plot E,all,Plot E,1,May,Orbicella faveolata,29,0.019506,271,10.70110701107011,0.27878075,6.996896306506097
Plot E,all,Plot E,1,May,Orbicella franksi,63,0.04938875,271,23.247232472324722,0.27878075,17.715982900541018
Plot E,all,Plot E,2,June,Acropora cervicornis,12,0.00919825,239,5.02092050209205,0.24506949999999994,3.7533230369344217
Plot E,all,Plot E,2,June,Acropora palmata,25,0.05678974999999999,239,10.460251046025105,0.24506949999999994,23.172916254368662
Plot E,all,Plot E,2,June,Orbicella annularis,110,0.10352849999999998,239,46.02510460251046,0.24506949999999994,42.24454695504745
Plot E,all,Plot E,2,June,Orbicella faveolata,29,0.0205665,239,12.133891213389122,0.24506949999999994,8.392109177192596
Plot E,all,Plot E,2,June,Orbicella franksi,63,0.054986499999999994,239,26.359832635983263,0.24506949999999994,22.437104576456885
Plot E,all,Plot E,3,July,Acropora cervicornis,12,0.009599749999999999,218,5.504587155963303,0.22352875,4.29463771438797
Plot E,all,Plot E,3,July,Acropora palmata,19,0.04925274999999999,218,8.715596330275229,0.22352875,22.03419023280003
Plot E,all,Plot E,3,July,Orbicella annularis,95,0.08468449999999997,218,43.57798165137615,0.22352875,37.8852832130095
Plot E,all,Plot E,3,July,Orbicella faveolata,29,0.021606,218,13.302752293577981,0.22352875,9.665870721327794
Plot E,all,Plot E,3,July,Orbicella franksi,63,0.058385750000000014,218,28.89908256880734,0.22352875,26.1200181184747
Plot E,all,Plot E,4,August,Acropora cervicornis,12,0.007899,222,5.405405405405405,0.23482700000000004,3.363752890425717
Plot E,all,Plot E,4,August,Acropora palmata,16,0.05759949999999999,222,7.207207207207207,0.23482700000000004,24.52848267022105
Plot E,all,Plot E,4,August,Orbicella annularis,100,0.08903675,222,45.04504504504504,0.23482700000000004,37.91589127315002
Plot E,all,Plot E,4,August,Orbicella faveolata,29,0.021633250000000007,222,13.063063063063064,0.23482700000000004,9.212420207216379
Plot E,all,Plot E,4,August,Orbicella franksi,63,0.057941000000000006,222,28.37837837837838,0.23482700000000004,24.673908877599253
Plot E,all,Plot E,4,August,Orbicella sp.,2,7.175e-4,222,0.9009009009009009,0.23482700000000004,0.30554408138757466
Plot E,all,Plot E,5,September,Acropora palmata,6,0.0408115,55,10.909090909090908,0.07154875,57.04012998130646
Plot E,all,Plot E,5,September,Orbicella annularis,25,0.017635999999999995,55,45.45454545454545,0.07154875,24.64892817833994
Plot E,all,Plot E,5,September,Orbicella faveolata,3,0.00230975,55,5.454545454545454,0.07154875,3.22821852233617
Plot E,all,Plot E,5,September,Orbicella franksi,19,0.01,55,34.54545454545455,0.07154875,13.97648456471986
Plot E,all,Plot E,5,September,Orbicella sp.,2,7.915e-4,55,3.6363636363636362,0.07154875,1.1062387532975768
Plot E,all,Plot E,6,October,Acropora palmata,6,0.039731749999999996,54,11.11111111111111,0.071657,55.44713007801052
Plot E,all,Plot E,6,October,Orbicella annularis,25,0.019041,54,46.2962962962963,0.071657,26.572421396374395
Plot E,all,Plot E,6,October,Orbicella faveolata,3,0.00255375,54,5.555555555555555,0.071657,3.563852798749599
Plot E,all,Plot E,6,October,Orbicella franksi,19,0.010012249999999999,54,35.18518518518518,0.071657,13.97246605356071
Plot E,all,Plot E,6,October,Orbicella sp.,1,3.1825e-4,54,1.8518518518518519,0.071657,0.4441296733047713
Plot E,all,Plot E,7,November,Acropora palmata,6,0.04272325,56,10.714285714285714,0.07479625,57.11950799672443
Plot E,all,Plot E,7,November,Orbicella annularis,25,0.01838825,56,44.642857142857146,0.07479625,24.584454434547187
Plot E,all,Plot E,7,November,Orbicella faveolata,3,0.0023915000000000004,56,5.357142857142857,0.07479625,3.1973528084629916
Plot E,all,Plot E,7,November,Orbicella franksi,19,0.01033725,56,33.92857142857143,0.07479625,13.820545816133832
Plot E,all,Plot E,7,November,Orbicella sp.,3,9.56e-4,56,5.357142857142857,0.07479625,1.2781389441315576
Plot G,all,Plot G,2,April,Orbicella annularis,17,0.02941974999999999,45,37.77777777777778,0.05900499999999999,49.85975764765697
Plot G,all,Plot G,2,April,Porites porites,28,0.02958525,45,62.22222222222222,0.05900499999999999,50.14024235234303
Plot G,all,Plot G,3,May,Orbicella annularis,17,0.0301135,45,37.77777777777778,0.05925325,50.82168488648302
Plot G,all,Plot G,3,May,Porites porites,28,0.02913975,45,62.22222222222222,0.05925325,49.17831511351697
