summary_level,plot,plot_section,plot_section_label,time_label,month_order,month,interval_order,month_start,month_end,species,metric,value,units,n,denominator,ci_low,ci_high,notes
species_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,Montastraea cavernosa,species_prevalence,31.50943396226415,percent_of_present_outplants,167,530,NA,NA,Species area m2: 0.064634
species_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,Orbicella annularis,species_prevalence,7.9245283018867925,percent_of_present_outplants,42,530,NA,NA,Species area m2: 0.050798
species_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,Orbicella faveolata,species_prevalence,4.339622641509434,percent_of_present_outplants,23,530,NA,NA,Species area m2: 0.046198
species_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,Orbicella franksi,species_prevalence,22.264150943396228,percent_of_present_outplants,118,530,NA,NA,Species area m2: 0.068545
species_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,Porites porites,species_prevalence,33.9622641509434,percent_of_present_outplants,180,530,NA,NA,Species area m2: 0.083498
plot_interval,Plot E,all,Plot E,May to June,NA,NA,1,May,June,NA,interval_survivorship,87.08487084870849,percent,236,271,82.49830371178574,90.83667907025146,Deaths: 35; births/new detections: 3
plot_interval,Plot E,all,Plot E,June to July,NA,NA,2,June,July,NA,interval_survivorship,94.75982532751091,percent,217,229,91.02543611613739,97.26334836838284,Deaths: 12; births/new detections: 1
plot_interval,Plot E,all,Plot E,July to August,NA,NA,3,July,August,NA,interval_survivorship,98.21428571428571,percent,220,224,95.49122606326189,99.51136306729522,Deaths: 4; births/new detections: 2
plot_interval,Plot E,all,Plot E,August to September,NA,NA,4,August,September,NA,interval_survivorship,100,percent,55,55,93.51292391745754,100,Deaths: 0; births/new detections: 0
plot_interval,Plot E,all,Plot E,September to October,NA,NA,5,September,October,NA,interval_survivorship,98.18181818181819,percent,54,55,90.28089842507467,99.95397821512043,Deaths: 1; births/new detections: 0
plot_interval,Plot E,all,Plot E,October to November,NA,NA,6,October,November,NA,interval_survivorship,100,percent,54,54,93.39684857555783,100,Deaths: 0; births/new detections: 2
plot_month,Plot E,all,Plot E,May,1,May,NA,NA,NA,NA,cumulative_deaths,0,count,0,271,NA,NA,Baseline month: May
plot_month,Plot E,all,Plot E,June,2,June,NA,NA,NA,NA,cumulative_deaths,35,count,35,271,NA,NA,Baseline month: May
plot_month,Plot E,all,Plot E,July,3,July,NA,NA,NA,NA,cumulative_deaths,54,count,54,271,NA,NA,Baseline month: May
plot_month,Plot E,all,Plot E,August,4,August,NA,NA,NA,NA,cumulative_deaths,58,count,58,271,NA,NA,Baseline month: May
plot_month,Plot E,all,Plot E,May,1,May,NA,NA,NA,NA,cumulative_survivorship,100,percent,271,271,98.64801244081264,100,Baseline month: May
plot_month,Plot E,all,Plot E,June,2,June,NA,NA,NA,NA,cumulative_survivorship,87.08487084870849,percent,236,271,82.49830371178574,90.83667907025146,Baseline month: May
plot_month,Plot E,all,Plot E,July,3,July,NA,NA,NA,NA,cumulative_survivorship,80.07380073800738,percent,217,271,74.81475306197578,84.66180636190914,Baseline month: May
plot_month,Plot E,all,Plot E,August,4,August,NA,NA,NA,NA,cumulative_survivorship,78.59778597785977,percent,213,271,73.22956518890139,83.3286711222492,Baseline month: May
plot_month,Plot E,all,Plot E,May,1,May,NA,NA,NA,NA,outplant_cover,0.058079322916666655,percent_of_plot,271,NA,NA,NA,Total area m2: 0.278781
plot_month,Plot E,all,Plot E,June,2,June,NA,NA,NA,NA,outplant_cover,0.05105614583333334,percent_of_plot,239,NA,NA,NA,Total area m2: 0.24507
plot_month,Plot E,all,Plot E,July,3,July,NA,NA,NA,NA,outplant_cover,0.04656848958333334,percent_of_plot,218,NA,NA,NA,Total area m2: 0.223529
plot_month,Plot E,all,Plot E,August,4,August,NA,NA,NA,NA,outplant_cover,0.0489222916666667,percent_of_plot,222,NA,NA,NA,Total area m2: 0.234827
plot_month,Plot E,all,Plot E,September,5,September,NA,NA,NA,NA,outplant_cover,0.014905989583333338,percent_of_plot,55,NA,NA,NA,Total area m2: 0.071549
plot_month,Plot E,all,Plot E,October,6,October,NA,NA,NA,NA,outplant_cover,0.014928541666666663,percent_of_plot,54,NA,NA,NA,Total area m2: 0.071657
plot_month,Plot E,all,Plot E,November,7,November,NA,NA,NA,NA,outplant_cover,0.015582552083333333,percent_of_plot,56,NA,NA,NA,Total area m2: 0.074796
species_interval,Plot E,all,Plot E,May to June,NA,NA,1,May,June,Acropora cervicornis,species_interval_survivorship,85.71428571428571,percent,12,14,57.187083909030115,98.22054845168084,Deaths: 2
species_interval,Plot E,all,Plot E,May to June,NA,NA,1,May,June,Acropora palmata,species_interval_survivorship,45.45454545454545,percent,25,55,31.97006799951665,59.445510884266106,Deaths: 30
species_interval,Plot E,all,Plot E,May to June,NA,NA,1,May,June,Orbicella annularis,species_interval_survivorship,97.27272727272727,percent,107,110,92.23632295004867,99.43400035585206,Deaths: 3
species_interval,Plot E,all,Plot E,May to June,NA,NA,1,May,June,Orbicella faveolata,species_interval_survivorship,100,percent,29,29,88.05551309304973,100,Deaths: 0
species_interval,Plot E,all,Plot E,May to June,NA,NA,1,May,June,Orbicella franksi,species_interval_survivorship,100,percent,63,63,94.31276476679838,100,Deaths: 0
species_interval,Plot E,all,Plot E,June to July,NA,NA,2,June,July,Acropora cervicornis,species_interval_survivorship,100,percent,12,12,73.53515306029489,100,Deaths: 0
species_interval,Plot E,all,Plot E,June to July,NA,NA,2,June,July,Acropora palmata,species_interval_survivorship,76,percent,19,25,54.871198218331365,90.64355606682571,Deaths: 6
