plot,plot_section,plot_section_label,month_order,month,species,n_outplants,percent_prevalence,total_outplant_area_m2,percent_cover_within_outplants,mean_depth_ft,min_depth_ft,max_depth_ft,depth_range_ft,mean_depth_m,min_depth_m,max_depth_m,depth_range_m
Plot E,all,Plot E,5,September,Orbicella sp.,2,3.6363636363636362,7.915e-4,1.1062387532975768,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Acropora palmata,6,11.11111111111111,0.039731749999999996,55.44713007801052,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella annularis,25,46.2962962962963,0.019041,26.572421396374395,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella faveolata,3,5.555555555555555,0.00255375,3.563852798749599,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella franksi,19,35.18518518518518,0.010012249999999999,13.97246605356071,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella sp.,1,1.8518518518518519,3.1825e-4,0.4441296733047713,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Acropora palmata,6,10.714285714285714,0.04272325,57.11950799672443,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella annularis,25,44.642857142857146,0.01838825,24.584454434547187,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella faveolata,3,5.357142857142857,0.0023915000000000004,3.1973528084629916,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella franksi,19,33.92857142857143,0.01033725,13.820545816133832,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella sp.,3,5.357142857142857,9.56e-4,1.2781389441315576,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot G,all,Plot G,2,April,Orbicella annularis,17,37.77777777777778,0.02941974999999999,49.85975764765697,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,2,April,Porites porites,28,62.22222222222222,0.02958525,50.14024235234303,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,3,May,Orbicella annularis,17,37.77777777777778,0.0301135,50.82168488648302,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,3,May,Porites porites,28,62.22222222222222,0.02913975,49.17831511351697,29,20,38,18,8.8392,6.096,11.5824,5.4864
